"","month","day","hour","size"
"1",1,1,0,352697
"2",1,1,1,391538
"3",1,1,2,324931
"4",1,1,3,303156
"5",1,1,4,266840
"6",1,1,5,248149
"7",1,1,6,233894
"8",1,1,7,249619
"9",1,1,8,238453
"10",1,1,9,308519
"11",1,1,10,254362
"12",1,1,11,303604
"13",1,1,12,371075
"14",1,1,13,396770
"15",1,1,14,427719
"16",1,1,15,487758
"17",1,1,16,526447
"18",1,1,17,621548
"19",1,1,18,627624
"20",1,1,19,611056
"21",1,1,20,796667
"22",1,1,21,661561
"23",1,1,22,638100
"24",1,1,23,647481
"25",1,2,0,593950
"26",1,2,1,286482
"27",1,2,2,481428
"28",1,2,3,495361
"29",1,2,4,468471
"30",1,2,5,463039
"31",1,2,6,488609
"32",1,2,7,470131
"33",1,2,8,485720
"34",1,2,9,633522
"35",1,2,10,640196
"36",1,2,11,717112
"37",1,2,12,726109
"38",1,2,13,862136
"39",1,2,14,926672
"40",1,2,15,1067152
"41",1,2,16,1088893
"42",1,2,17,1113364
"43",1,2,18,550881
"44",1,2,19,1032829
"45",1,2,20,1008130
"46",1,2,21,328944
"47",1,2,22,979765
"48",1,2,23,970627
"49",1,3,0,679266
"50",1,3,1,96267
"51",1,3,2,634348
"52",1,3,3,657434
"53",1,3,4,617951
"54",1,3,5,595888
"55",1,3,6,565943
"56",1,3,7,586051
"57",1,3,8,672521
"58",1,3,9,794458
"59",1,3,10,858873
"60",1,3,11,870852
"61",1,3,12,871942
"62",1,3,13,1052606
"63",1,3,14,1239384
"64",1,3,15,296196
"65",1,3,16,1406489
"66",1,3,17,1209006
"67",1,3,18,1274413
"68",1,3,19,1297808
"69",1,3,20,1280847
"70",1,3,21,1415107
"71",1,3,22,1403443
"72",1,3,23,557266
"73",1,4,0,276274
"74",1,4,1,939844
"75",1,4,2,713846
"76",1,4,3,42076
"77",1,4,4,656912
"78",1,4,5,643457
"79",1,4,6,589508
"80",1,4,7,613048
"81",1,4,8,772275
"82",1,4,9,838581
"83",1,4,10,911507
"84",1,4,11,70502
"85",1,4,12,364119
"86",1,4,13,1044833
"87",1,4,14,785097
"88",1,4,15,343161
"89",1,4,16,229164
"90",1,4,17,1373790
"91",1,4,18,1293782
"92",1,4,19,486400
"93",1,4,20,1291090
"94",1,4,21,1359658
"95",1,4,22,1393752
"96",1,4,23,1148786
"97",1,5,0,1009379
"98",1,5,1,900490
"99",1,5,2,747282
"100",1,5,3,739781
"101",1,5,4,679748
"102",1,5,5,668315
"103",1,5,6,627317
"104",1,5,7,303755
"105",1,5,8,824491
"106",1,5,9,838735
"107",1,5,10,928173
"108",1,5,11,923898
"109",1,5,12,615465
"110",1,5,13,1000372
"111",1,5,14,45463
"112",1,5,15,249413
"113",1,5,16,1397284
"114",1,5,17,1385625
"115",1,5,18,1275403
"116",1,5,19,1392820
"117",1,5,20,1302760
"118",1,5,21,1290879
"119",1,5,22,1362362
"120",1,5,23,1110209
"121",1,6,0,1017344
"122",1,6,1,914026
"123",1,6,2,710594
"124",1,6,3,730362
"125",1,6,4,674458
"126",1,6,5,693803
"127",1,6,6,522240
"128",1,6,7,22352
"129",1,6,8,665202
"130",1,6,9,764060
"131",1,6,10,849140
"132",1,6,11,933188
"133",1,6,12,938842
"134",1,6,13,966195
"135",1,6,14,1169362
"136",1,6,15,1350694
"137",1,6,16,1598918
"138",1,6,17,1367310
"139",1,6,18,1315594
"140",1,6,19,1313157
"141",1,6,20,513650
"142",1,6,21,1265423
"143",1,6,22,1221827
"144",1,6,23,1036147
"145",1,7,0,934343
"146",1,7,1,762763
"147",1,7,2,587846
"148",1,7,3,527474
"149",1,7,4,472753
"150",1,7,5,444676
"151",1,7,6,428317
"152",1,7,7,236829
"153",1,7,8,392868
"154",1,7,9,494361
"155",1,7,10,487926
"156",1,7,11,550057
"157",1,7,12,593491
"158",1,7,13,498657
"159",1,7,14,161913
"160",1,7,15,708855
"161",1,7,16,854614
"162",1,7,17,868972
"163",1,7,18,881061
"164",1,7,19,830770
"165",1,7,20,859190
"166",1,7,21,888765
"167",1,7,22,884123
"168",1,7,23,732705
"169",1,8,0,817971
"170",1,8,1,622864
"171",1,8,2,523726
"172",1,8,3,538310
"173",1,8,4,512444
"174",1,8,5,476461
"175",1,8,6,490564
"176",1,8,7,415841
"177",1,8,8,414331
"178",1,8,9,475603
"179",1,8,10,718635
"180",1,8,11,549942
"181",1,8,12,626006
"182",1,8,13,679664
"183",1,8,14,719813
"184",1,8,15,788893
"185",1,8,16,813500
"186",1,8,17,669477
"187",1,8,18,98090
"188",1,8,19,107564
"189",1,8,20,1040847
"190",1,8,21,1138484
"191",1,8,22,980383
"192",1,8,23,857170
"193",1,9,0,817276
"194",1,9,1,735366
"195",1,9,2,727011
"196",1,9,3,632339
"197",1,9,4,656664
"198",1,9,5,619181
"199",1,9,6,664857
"200",1,9,7,754660
"201",1,9,8,851170
"202",1,9,9,946794
"203",1,9,10,593215
"204",1,9,11,814961
"205",1,9,12,978768
"206",1,9,13,1118922
"207",1,9,14,206014
"208",1,9,15,147303
"209",1,9,16,169127
"210",1,9,17,1337105
"211",1,9,18,1487583
"212",1,9,19,1392690
"213",1,9,20,243376
"214",1,9,21,195846
"215",1,9,22,1354699
"216",1,9,23,1161519
"217",1,10,0,999782
"218",1,10,1,832941
"219",1,10,2,836688
"220",1,10,3,746888
"221",1,10,4,763147
"222",1,10,5,659879
"223",1,10,6,694668
"224",1,10,7,732405
"225",1,10,8,785096
"226",1,10,9,890527
"227",1,10,10,554068
"228",1,10,11,176313
"229",1,10,12,918521
"230",1,10,13,1064744
"231",1,10,14,470250
"232",1,10,15,1346834
"233",1,10,16,1195370
"234",1,10,17,1051268
"235",1,10,18,581713
"236",1,10,19,554069
"237",1,10,20,260434
"238",1,10,21,509707
"239",1,10,22,1445084
"240",1,10,23,1219190
"241",1,11,0,1039258
"242",1,11,1,1016620
"243",1,11,2,846460
"244",1,11,3,745923
"245",1,11,4,590967
"246",1,11,5,619955
"247",1,11,6,586643
"248",1,11,7,722761
"249",1,11,8,896778
"250",1,11,9,396039
"251",1,11,10,942324
"252",1,11,11,956301
"253",1,11,12,1064846
"254",1,11,13,1150977
"255",1,11,14,1323499
"256",1,11,15,1566529
"257",1,11,16,1591205
"258",1,11,17,711894
"259",1,11,18,1330636
"260",1,11,19,1410581
"261",1,11,20,1498693
"262",1,11,21,1480821
"263",1,11,22,1440778
"264",1,11,23,1197021
"265",1,12,0,931910
"266",1,12,1,879686
"267",1,12,2,827704
"268",1,12,3,806051
"269",1,12,4,691333
"270",1,12,5,682497
"271",1,12,6,636042
"272",1,12,7,780350
"273",1,12,8,850694
"274",1,12,9,60593
"275",1,12,10,1010329
"276",1,12,11,30314
"277",1,12,12,182495
"278",1,12,13,1192913
"279",1,12,14,827620
"280",1,12,15,1452696
"281",1,12,16,1545497
"282",1,12,17,1588098
"283",1,12,18,1446481
"284",1,12,19,1426028
"285",1,12,20,1578344
"286",1,12,21,1590294
"287",1,12,22,1575121
"288",1,12,23,151233
"289",1,13,0,1022339
"290",1,13,1,563851
"291",1,13,2,676303
"292",1,13,3,76837
"293",1,13,4,713843
"294",1,13,5,667074
"295",1,13,6,87208
"296",1,13,7,811412
"297",1,13,8,821516
"298",1,13,9,915108
"299",1,13,10,512151
"300",1,13,11,925834
"301",1,13,12,921753
"302",1,13,13,1081553
"303",1,13,14,1113237
"304",1,13,15,1498813
"305",1,13,16,460095
"306",1,13,17,1461170
"307",1,13,18,1371746
"308",1,13,19,1255412
"309",1,13,20,1312977
"310",1,13,21,1303597
"311",1,13,22,1310780
"312",1,13,23,1075763
"313",1,14,0,1004588
"314",1,14,1,233754
"315",1,14,2,128096
"316",1,14,3,587039
"317",1,14,4,456369
"318",1,14,5,476383
"319",1,14,6,448640
"320",1,14,7,95016
"321",1,14,8,484747
"322",1,14,9,435136
"323",1,14,10,551673
"324",1,14,11,568581
"325",1,14,12,625159
"326",1,14,13,728685
"327",1,14,14,881121
"328",1,14,15,886410
"329",1,14,16,892146
"330",1,14,17,994440
"331",1,14,18,944501
"332",1,14,19,1016075
"333",1,14,20,958525
"334",1,14,21,958350
"335",1,14,22,894466
"336",1,14,23,826666
"337",1,15,0,689679
"338",1,15,1,695130
"339",1,15,2,542717
"340",1,15,3,510475
"341",1,15,4,483575
"342",1,15,5,468128
"343",1,15,6,445428
"344",1,15,7,454703
"345",1,15,8,483592
"346",1,15,9,493644
"347",1,15,10,452902
"348",1,15,11,647240
"349",1,15,12,748607
"350",1,15,13,718248
"351",1,15,14,876097
"352",1,15,15,810865
"353",1,15,16,566728
"354",1,15,17,989502
"355",1,15,18,957491
"356",1,15,19,990398
"357",1,15,20,1066682
"358",1,15,21,1091176
"359",1,15,22,1046969
"360",1,15,23,966726
"361",1,16,0,726128
"362",1,16,1,718978
"363",1,16,2,577334
"364",1,16,3,494783
"365",1,16,4,617750
"366",1,16,5,582632
"367",1,16,6,708095
"368",1,16,7,724759
"369",1,16,8,856079
"370",1,16,9,1014736
"371",1,16,10,977445
"372",1,16,11,914977
"373",1,16,12,903529
"374",1,16,13,689147
"375",1,16,14,617411
"376",1,16,15,1407704
"377",1,16,16,1583202
"378",1,16,17,752354
"379",1,16,18,1374373
"380",1,16,19,676711
"381",1,16,20,1621349
"382",1,16,21,1589541
"383",1,16,22,1392735
"384",1,16,23,1361608
"385",1,17,0,999043
"386",1,17,1,950847
"387",1,17,2,662444
"388",1,17,3,150718
"389",1,17,4,451912
"390",1,17,5,728310
"391",1,17,6,912196
"392",1,17,7,860547
"393",1,17,8,86267
"394",1,17,9,1016130
"395",1,17,10,203853
"396",1,17,11,952561
"397",1,17,12,354552
"398",1,17,13,1137749
"399",1,17,14,1351843
"400",1,17,15,1518079
"401",1,17,16,1577163
"402",1,17,17,1637915
"403",1,17,18,1566043
"404",1,17,19,748651
"405",1,17,20,1233169
"406",1,17,21,1593687
"407",1,17,22,1424600
"408",1,17,23,1371662
"409",1,18,0,1090761
"410",1,18,1,976580
"411",1,18,2,863692
"412",1,18,3,858183
"413",1,18,4,497962
"414",1,18,5,714252
"415",1,18,6,747091
"416",1,18,7,327877
"417",1,18,8,315171
"418",1,18,9,1029818
"419",1,18,10,172291
"420",1,18,11,954433
"421",1,18,12,1007961
"422",1,18,13,1180294
"423",1,18,14,1381678
"424",1,18,15,1589018
"425",1,18,16,1642218
"426",1,18,17,1548587
"427",1,18,18,1356657
"428",1,18,19,1417341
"429",1,18,20,1371383
"430",1,18,21,491848
"431",1,18,22,117348
"432",1,18,23,1260294
"433",1,19,0,563325
"434",1,19,1,921335
"435",1,19,2,1205920
"436",1,19,3,70066
"437",1,19,4,753507
"438",1,19,5,711901
"439",1,19,6,634967
"440",1,19,7,734768
"441",1,19,8,824984
"442",1,19,9,942023
"443",1,19,10,1094218
"444",1,19,11,208890
"445",1,19,12,664097
"446",1,19,13,1237013
"447",1,19,14,1304007
"448",1,19,15,1362808
"449",1,19,16,1524649
"450",1,19,17,1526640
"451",1,19,18,1298987
"452",1,19,19,1490932
"453",1,19,20,1457116
"454",1,19,21,816992
"455",1,19,22,1488159
"456",1,19,23,483921
"457",1,20,0,301299
"458",1,20,1,967209
"459",1,20,2,826506
"460",1,20,3,727327
"461",1,20,4,696588
"462",1,20,5,632320
"463",1,20,6,604518
"464",1,20,7,725113
"465",1,20,8,772790
"466",1,20,9,907037
"467",1,20,10,242451
"468",1,20,11,1049389
"469",1,20,12,970089
"470",1,20,13,1130372
"471",1,20,14,1378662
"472",1,20,15,825529
"473",1,20,16,1432589
"474",1,20,17,1240824
"475",1,20,18,72306
"476",1,20,19,1348292
"477",1,20,20,1419253
"478",1,20,21,1479702
"479",1,20,22,901185
"480",1,20,23,1110750
"481",1,21,0,862669
"482",1,21,1,785049
"483",1,21,2,587199
"484",1,21,3,584176
"485",1,21,4,603674
"486",1,21,5,471726
"487",1,21,6,460575
"488",1,21,7,392957
"489",1,21,8,502690
"490",1,21,9,493756
"491",1,21,10,565438
"492",1,21,11,588943
"493",1,21,12,594754
"494",1,21,13,692382
"495",1,21,14,760622
"496",1,21,15,749965
"497",1,21,16,874739
"498",1,21,17,581591
"499",1,21,18,919879
"500",1,21,19,1037155
"501",1,21,20,951575
"502",1,21,21,545060
"503",1,21,22,963817
"504",1,21,23,909478
"505",1,22,0,748725
"506",1,22,1,676391
"507",1,22,2,582060
"508",1,22,3,612351
"509",1,22,4,532531
"510",1,22,5,538539
"511",1,22,6,480445
"512",1,22,7,456561
"513",1,22,8,444691
"514",1,22,9,536565
"515",1,22,10,530547
"516",1,22,11,233510
"517",1,22,12,400898
"518",1,22,13,758880
"519",1,22,14,499656
"520",1,22,15,865013
"521",1,22,16,222671
